ALEACION,Al - min,Al - max,Mg - min,Mg - max,Zn - min,Zn - max,Mn - min,Mn - max,Cu - min,Cu - max,Fe - min,Fe - max,Si - min,Si - max,Ni - min,Ni - max
1030,99.3,100,0,0.05,0,0.1,0,0.05,0,0.1,0,0.6,0,0.35,0,0.01
1035,99.35,100,0,0.05,0,0.1,0,0.05,0,0.1,0,0.6,0,0.35,0,0.01
1040,99.4,100,0,0.05,0,0.1,0,0.05,0,0.1,0,0.05,0,0.3,0,0.01
1045,99.45,100,0,0.05,0,0.05,0,0.05,0,0.1,0,0.45,0,0.3,0,0.01
1050,99.5,100,0,0.05,0,0.05,0,0.05,0,0.05,0,0.4,0,0.25,0,0.01
1055,99.55,100,0,0.05,0,0.05,0,0.05,0,0.05,0,0.4,0,0.25,0,0.01
1060,99.6,100,0,0.03,0,0.05,0,0.03,0,0.05,0,0.35,0,0.25,0,0.01
1065,99.65,100,0,0.03,0,0.05,0,0.03,0,0.05,0,0.3,0,0.25,0,0.01
1070,99.7,100,0,0.03,0,0.04,0,0.03,0,0.04,0,0.25,0,0.2,0,0.01
1075,99.75,100,0,0.03,0,0.04,0,0.03,0,0.04,0,0.2,0,0.2,0,0.01
1080,99.8,100,0,0.02,0,0.03,0,0.02,0,0.03,0,0.15,0,0.15,0,0.01
1085,99.85,100,0,0.02,0,0.03,0,0.02,0,0.03,0,0.12,0,0.1,0,0.01
1090,99.9,100,0,0.01,0,0.03,0,0.01,0,0.02,0,0.07,0,0.07,0,0.01
1095,99.95,100,0,0.01,0,0.01,0,0.01,0,0.01,0,0.04,0,0.03,0,0.01
1098,99.98,100,0,0.01,0,0.015,0,0.01,0,0.003,0,0.006,0,0.01,0,0.01
1100,99,100,0,0.01,0,0.1,0,0.05,0.05,0.2,0,0.01,0,0.01,0,0.01
1110,99.1,100,0,0.25,0,0.01,0,0.01,0,0.04,0,0.8,0,0.3,0,0.01
1120,99.2,100,0,0.2,0,0.05,0,0.01,0.05,0.35,0,0.4,0,0.1,0,0.01
1135,99.35,100,0,0.05,0,0.1,0,0.04,0.05,0.2,0,0.01,0,0.01,0,0.01
1145,99.45,100,0,0.05,0,0.05,0,0.05,0,0.05,0,0.01,0,0.01,0,0.01
1150,99.5,100,0,0.05,0,0.05,0,0.05,0.05,0.2,0,0.01,0,0.01,0,0.01
1170,99.7,100,0,0.02,0,0.04,0,0.03,0,0.03,0,0.01,0,0.01,0,0.01
1175,99.75,100,0,0.02,0,0.03,0,0.02,0,0.1,0,0.01,0,0.01,0,0.01
1180,99.8,100,0,0.02,0,0.03,0,0.02,0,0.01,0,0.09,0,0.09,0,0.01
1185,99.85,100,0,0.02,0,0.03,0,0.02,0,0.01,0,0.01,0,0.01,0,0.01
1188,99.88,100,0,0.01,0,0.03,0,0.01,0,0.005,0,0.06,0,0.06,0,0.01
1190,99.9,100,0,0.05,0,0.02,0,0.01,0,0.01,0,0.07,0,0.05,0,0.01
1193,99.93,100,0,0.01,0,0.03,0,0.01,0,0.006,0,0.04,0,0.04,0,0.01
1198,99.98,100,0,0.01,0,0.01,0,0.006,0,0.006,0,0.006,0,0.01,0,0.01
1199,99.99,100,0,0.006,0,0.006,0,0.002,0,0.006,0,0.006,0,0.006,0,0.01
1200,99,100,0,0.01,0,0.1,0,0.05,0,0.05,0,0.01,0,0.01,0,0.01
1230,99.3,100,0,0.05,0,0.1,0,0.05,0,0.1,0,0.01,0,0.01,0,0.01
1235,99.35,100,0,0.05,0,0.01,0,0.05,0,0.05,0,0.01,0,0.01,0,0.01
1250,99.5,100,0,0.01,0,0.05,0,0.01,0,0.1,0,0.4,0,0.2,0,0.01
1260,99.6,100,0,0.03,0,0.05,0,0.01,0,0.04,0,0.01,0,0.01,0,0.01
1275,99.75,100,0,0.02,0,0.03,0,0.02,0.05,0.1,0,0.12,0,0.08,0,0.01
1285,99.85,100,0,0.01,0,0.03,0,0.01,0,0.02,0,0.08,0,0.08,0,0.01
1345,99.45,100,0,0.05,0,0.05,0,0.05,0,0.1,0,0.4,0,0.3,0,0.01
1350,99.5,100,0,0.01,0,0.05,0,0.01,0,0.05,0,0.4,0,0.1,0,0.01
1370,99.7,100,0,0.02,0,0.04,0,0.01,0,0.02,0,0.25,0,0.1,0,0.01
1385,99.85,100,0,0.02,0,0.03,0,0.01,0,0.02,0,0.12,0,0.05,0,0.01
1435,99.35,100,0,0.05,0,0.1,0,0.05,0,0.02,0.3,0.5,0,0.15,0,0.01
1445,99.45,100,0,0.01,0,0.01,0,0.01,0,0.04,0,0.01,0,0.01,0,0.01
1450,99.5,100,0,0.05,0,0.07,0,0.05,0,0.05,0,0.4,0,0.25,0,0.01
2001,0,100,0.2,0.45,0,0.1,0.15,0.5,5.2,6,0,0.2,0,0.2,0,0.01
2002,0,100,0.5,1,0,0.2,0,0.2,1.5,2.5,0,0.3,0.35,0.8,0,0.01
2003,0,100,0,0.02,0,0.1,0.3,0.8,4,5,0,0.3,0,0.3,0,0.01
2004,0,100,0,0.05,0,0.1,0,0.1,5.5,6.5,0.2,0.5,0,0.2,0,0.01
2005,0,100,0.2,1,0,0.05,0,1,3.5,5,0,0.7,0,0.8,0,0.01
2006,0,100,0.5,1.4,0,0.2,0.6,1,1,2,0,0.7,0.8,1.3,0,0.01
2007,0,100,0.4,1.8,0,0.8,0.5,1,3.3,4.6,0,0.8,0,0.8,0,0.01
2008,0,100,0.25,0.5,0,0.25,0,0.3,0.7,1.1,0,0.4,0.5,0.8,0,0.01
2009,0,100,1,1.6,0,0.1,0,0.01,3.2,4.4,0,0.05,0,0.25,0,0.01
2010,0,100,0.4,1,0,0.3,0.1,0.4,0.7,1.3,0,0.5,0,0.5,0,0.01
2011,0,100,0,0.01,0,0.3,0,0.01,5,6,0,0.7,0,0.4,0,0.01
2012,0,100,0,0.01,0,0.3,0,0.01,4,5.5,0,0.7,0,0.4,0,0.01
2014,0,100,0.2,0.8,0,0.25,0.4,1.2,3.9,5,0,0.7,0.5,1.2,0,0.01
2017,0,100,0.4,0.8,0,0.25,0.4,1,3.5,4.5,0,0.7,0.2,0.8,0,0.01
2018,0,100,0.45,0.9,0,0.25,0,0.2,3.5,4.5,0,1,0,0.9,0,0.01
2020,0,100,0,0.03,0,0.25,0.3,0.8,4,5,0,0.4,0,0.4,0,0.01
2021,0,100,0,0.02,0,0.1,0.2,0.4,5.8,6.8,0,0.3,0,0.2,0,0.01
2024,0,100,1.2,1.8,0,0.25,0.3,0.9,3.8,4.9,0,0.05,0,0.05,0,0.01
2025,0,100,0,0.05,0,0.25,0.4,1.2,3.9,5,0,1,0.5,1.2,0,0.01
2030,0,100,0.5,1.3,0,0.01,0.2,1,3.3,4.5,0,0.7,0,0.8,0,0.01
2031,0,100,0.6,1.2,0,0.2,0,0.5,1.8,2.8,0.6,1.2,0.5,1.3,0,0.01
2034,0,100,1.3,1.9,0.2,0.2,0.8,1.3,4.2,4.8,0.12,0.12,0.1,0.1,0,0.01
2036,0,100,0.3,0.6,0,0.25,0.1,0.4,2.2,3,0,0.5,0,0.5,0,0.01
2037,0,100,0.3,0.8,0,0.25,0.1,0.4,1.4,2.2,0,0.5,0,0.5,0,0.01
2038,0,100,0.4,1,0.5,0.5,0.1,0.4,0.8,1.8,0.6,0.6,0.5,1.3,0,0.01
2048,0,100,1.2,1.8,0,0.25,0.2,0.6,2.8,3.8,0,0.2,0,0.15,0,0.01
2080,0,100,1.5,2.2,0,0.1,0,0.25,3.3,4.1,0,0.2,0,0.1,0,0.01
2090,0,100,0,0.25,0,0.1,0,0.05,2.4,3,0,0.12,0,0.1,0,0.01
2091,0,100,1.1,1.9,0,0.25,0,0.1,1.8,2.5,0,0.3,0,0.2,0,0.01
2094,0,100,0.25,0.8,0,0.25,0,0.25,4.4,5.2,0,0.15,0,0.12,0,0.01
2095,0,100,0.25,0.8,0,0.25,0,0.25,3.9,4.6,0,0.15,0,0.12,0,0.01
2096,0,100,0.25,0.8,0,0.25,0,0.25,2.3,3,0,0.15,0,0.12,0,0.01
2097,0,100,0,0.35,0,0.35,0.1,0.6,2.5,3.1,0,0.15,0,0.12,0,0.01
2111,0,100,0,0.01,0,0.3,0,0.01,5,6,0,0.7,0,0.4,0,0.01
2117,0,100,0.2,0.5,0,0.25,0,0.2,2.2,3,0,0.7,0,0.8,0,0.01
2124,0,100,1.2,1.8,0,0.25,0.3,0.9,3.8,4.9,0,0.3,0,0.2,0,0.01
2195,0,100,0.25,0.8,0,0.25,0,0.25,3.7,4.3,0,0.15,0,0.12,0,0.01
2197,0,100,0,0.25,0,0.05,0.1,0.5,2.5,3.1,0,0.1,0,0.1,0,0.01
2214,0,100,0.2,0.8,0,0.25,0.4,1.2,3.9,5,0,0.3,0.5,1.2,0,0.01
2218,0,100,1.2,1.8,0,0.25,0,0.2,3.5,4.5,0,1,0,0.9,0,0.01
2219,0,100,0,0.02,0,0.1,0.2,0.4,5.8,6.8,0,0.3,0,0.2,0,0.01
2224,0,100,1.2,1.8,0,0.25,0.3,0.9,3.8,4.4,0,0.15,0,0.12,0,0.01
2297,0,100,0,0.25,0,0.05,0.1,0.5,2.5,3.1,0,0.1,0,0.1,0,0.01
2319,0,100,0,0.02,0,0.1,0.2,0.4,5.8,6.8,0,0.3,0,0.2,0,0.01
2324,0,100,1.2,1.8,0,0.25,0.3,0.9,3.8,4.4,0,0.12,0,0.1,0,0.01
