ALEACION,Al,Mg,Zn,Mn,Cu,Fe,Si,Ni
1030,99.30 min,0.05 max,0.10 max,0.05 max,0.10 max,0.60 max,0.35 max,
1035,99.35 min,0.05 max,0.10 max,0.05 max,0.10 max,0.60 max,0.35 max,
1040,99.40 min,0.05 max,0.10 max,0.05 max,0.10 max,0.05 max,0.30 max,
1045,99.45 min,0.05 max,0.05 max,0.05 max,0.10 max,0.45 max,0.30 max,
1050,99.50 min,0.05 max,0.05 max,0.05 max,0.05 max,0.40 max,0.25 max,
1055,99.55 min,0.05 max,0.05 max,0.05 max,0.05 max,0.40 max,0.25 max,
1060,99.60 min,0.03 max,0.05 max,0.03 max,0.05 max,0.35 max,0.25 max,
1065,99.65 min,0.03 max,0.05 max,0.03 max,0.05 max,0.30 max,0.25 max,
1070,99.70 min,0.03 max,0.04 max,0.03 max,0.04 max,0.25 max,0.20 max,
1075,99.75 min,0.03 max,0.04 max,0.03 max,0.04 max,0.20 max,0.20 max,
1080,99.80 min,0.02 max,0.03 max,0.02 max,0.03 max,0.15 max,0.15 max,
1085,99.85 min,0.02 max,0.03 max,0.02 max,0.03 max,0.12 max,0.10 max,
1090,99.90 min,0.01 max,0.03 max,0.01 max,0.02 max,0.07 max,0.07 max,
1095,99.95 min,0.01 max,0.01 max,0.01 max,0.01 max,0.04 max,0.03 max,
1098,99.98 min,,0.015 max,,0.003 max,0.006 max,0.01 max,
1100,99.00 min,,0.10 max,0.05 max,0.05 - 0.20,,,
1110,99.10 min,0.25 max,,0.01 max,0.04 max,0.80 max,0.30 max,
1120,99.20 min,0.20 max,0.05 max,0.01 max,0.05 - 0.35,0.40 max,0.10 max,
1135,99.35 min,0.05 max,0.10 max,0.04 max,0.05 - 0.20,,,
1145,99.45 min,0.05 max,0.05 max,0.05 max,0.05 max,,,
1150,99.50 min,0.05 max,0.05 max,0.05 max,0.05 - 0.20,,,
1170,99.70 min,0.02 max,0.04 max,0.03 max,0.03 max,,,
1175,99.75 min,0.02 max,0.03 max,0.02 max,0.10 max,,,
1180,99.80 min,0.02 max,0.03 max,0.02 max,0.01 max,0.09 max,0.09 max,
1185,99.85 min,0.02 max,0.03 max,0.02 max,0.01 max,,,
1188,99.88 min,0.01 max,0.03 max,0.01 max,0.005 max,0.06 max,0.06 max,
1190,99.90 min,0.05 max,0.02 max,0.01 max,0.01 max,0.07 max,0.05 max,
1193,99.93 min,,0.03 max,,0.006 max,0.04 max,0.04 max,
1198,99.98 min,,0.01 max,0.006 max,0.006 max,0.006 max,0.01 max,
1199,99.99 min,0.006 max,0.006 max,0.002 max,0.006 max,0.006 max,0.006 max,
1200,99.00 min,,0.10 max,0.05 max,0.05 max,,,
1230,99.30 min,0.05 max,0.10 max,0.05 max,0.10 max,,,
1235,99.35 min,0.05 max,0.01 max,0.05 max,0.05 max,,,
1250,99.50 min,0.01 max,0.05 max,0.01 max,0.10 max,0.40 max,0.20 max,
1260,99.60 min,0.03 max,0.05 max,0.01 max,0.04 max,,,
1275,99.75 min,0.02 max,0.03 max,0.02 max,0.05 - 0.10,0.12 max,0.08 max,
1285,99.85 min,,0.03 max,,0.02 max,0.08 max,0.08 max,
1345,99.45 min,0.05 max,0.05 max,0.05 max,0.10 max,0.40 max,0.30 max,
1350,99.50 min,,0.05 max,0.01 max,0.05 max,0.40 max,0.10 max,
1370,99.70 min,0.02 max,0.04 max,0.01 max,0.02 max,0.25 max,0.10 max,
1385,99.85 min,0.02 max,0.03 max,0.01 max,0.02 max,0.12 max,0.05 max,
1435,99.35 min,0.05 max,0.10 max,0.05 max,0.02 max,0.30 - 0.50,0.15 max,
1445,99.45 min,,,,0.04 max,,,
1450,99.50 min,0.05 max,0.07 max,0.05 max,0.05 max,0.40 max,0.25 max,
2001,resto,0.20 - 0.45,0.10 max,0.15 - 0.50,5.20 - 6.00,0.20 max,0.20 max,
2002,resto,0.50 - 1.00,0.20 max,0.20 max,1.50 - 2.50,0.30 max,0.35 - 0.80,
2003,resto,0.02 max,0.10 max,0.30 - 0.80,4.00 - 5.00,0.30 max,0.30 max,
2004,resto,0.05 max,0.10 max,0.10 max,5.50 - 6.50,0.20 - 0.50,0.20 max,
2005,resto,0.20 - 1.00,0.05 max,1.00 max,3.50 - 5.00,0.70 max,0.80 max,
